Subject,Start Date,Start Time,End Date,End Time,Description,Location
"Study Linear Algebra",07/26/2025,19:00,07/26/2025,21:00,"Read 'Mathematics for Machine Learning' Ch. 1 (vectors, matrices). Watch 3Blue1Brown 'Vectors'.","Online"
"Code Matrix Operations",07/27/2025,19:00,07/27/2025,21:30,"Study matrix operations, determinants. Solve exercises (Khan Academy).","Online"
"Study Calculus",07/28/2025,19:00,07/28/2025,21:30,"Read Ch. 2, study derivatives. Watch 3Blue1Brown 'Derivatives'.","Online"
"Study Probability",07/29/2025,19:00,07/29/2025,21:30,"Read Ch. 3, focus on Bayes’ theorem. Solve probability exercises.","Online"
"Solve Math Exercises",07/30/2025,19:00,07/30/2025,21:30,"Code matrix multiplication, inverse in NumPy. Solve linear algebra exercises.","Online"
"Review Math",07/31/2025,19:00,07/31/2025,21:30,"Review weak areas, revisit Khan Academy problems.","Online"
"Study Linear Regression",08/02/2025,19:00,08/02/2025,21:30,"Read ISLR Ch. 3, derive Normal Equation. Watch Andrew Ng Week 1.","Online"
"Study Gradient Descent",08/03/2025,19:00,08/03/2025,21:30,"Study Gradient Descent, derive update rule. Watch Andrew Ng.","Online"
"Code Linear Regression",08/04/2025,19:00,08/04/2025,21:30,"Implement Linear Regression from scratch (NumPy). Ref: Scikit-learn docs.","Online"
"Apply Linear Regression",08/05/2025,19:00,08/05/2025,21:30,"Apply to Boston Housing dataset (scikit-learn). Plot predictions.","Online"
"Study Ridge",08/06/2025,19:00,08/06/2025,21:30,"Study Ridge regularization, derive L2 penalty. Apply Ridge.","Online"
"Compare Models",08/07/2025,19:00,08/07/2025,21:30,"Compare Linear vs. Ridge on Boston Housing. Document results.","Online"
"Study Logistic Regression",08/09/2025,19:00,08/09/2025,21:30,"Read ISLR Ch. 4, derive cross-entropy loss. Watch StatQuest.","Online"
"Code Logistic Regression",08/10/2025,19:00,08/10/2025,21:30,"Implement Logistic Regression from scratch (NumPy).","Online"
"Study Naive Bayes",08/11/2025,19:00,08/11/2025,21:30,"Read about Naive Bayes, derive Gaussian variant. Watch StatQuest.","Online"
"Code Naive Bayes",08/12/2025,19:00,08/12/2025,21:30,"Implement Gaussian Naive Bayes from scratch.","Online"
"Apply to Iris",08/13/2025,19:00,08/13/2025,21:30,"Apply Logistic Regression and Naive Bayes to Iris dataset.","Online"
"Analyze Iris Results",08/14/2025,19:00,08/14/2025,21:30,"Analyze results, plot decision boundaries.","Online"
"Study Regression Metrics",08/16/2025,19:00,08/16/2025,21:30,"Read ISLR Ch. 5, study MSE, RMSE, R².","Online"
"Study Classification Metrics",08/17/2025,19:00,08/17/2025,21:30,"Study Accuracy, F1, ROC-AUC. Watch Kaggle tutorial.","Online"
"Evaluate Models",08/18/2025,19:00,08/18/2025,21:30,"Evaluate Week 2–3 models with metrics (scikit-learn).","Online"
"Mini-Project: Titanic",08/19/2025,19:00,08/19/2025,21:30,"Apply Linear and Logistic Regression to Titanic dataset.","Online"
"Mini-Project: Compare",08/20/2025,19:00,08/20/2025,21:30,"Compare models, plot ROC curves.","Online"
"Mini-Project: Document",08/21/2025,19:00,08/21/2025,21:30,"Document findings, write summary.","Online"
"Study Decision Trees",08/23/2025,19:00,08/23/2025,21:30,"Read ISLR Ch. 8, derive Entropy. Ref: Géron Ch. 6.","Online"
